en,vi
There were no complications nor death.,Không có biến chứng cũng như tử vong.
"The mean correction angles were 24 0 ± 200 (range, - 140 to 710).",Góc nắn chỉnh trung bình đạt được 260 ± 200 (từ -140 đến 710).
It is necessary to monitor and treat promptly to avoid sequelae.,Tất cả cần được theo dõi và điều trị kịp thời tránh di chứng.
Results: The percentage of healthcare workers who followed the removal of personal protective equipment was 72%.,Kết quả: Tỷ lệ nhân viên y tế tuân thủ quy trình tháo bỏ phương tiện phòng hộ cá nhân là 72%.
Identifying the percentage of students with early signs of varicose veins of the lower extremities.,Xác định tỷ lệ sinh viên có dấu hiệu sớm về suy giãn tĩnh mạch chi dưới.
Subjects and research Methods.,Đối tượng - Phương pháp nghiên cứu.
The rate of students achieving general knowledge level on prevention of varicose veins of the lower extremities on average level was 61.6% and 31.1% of students had a good level of knowledge.,"Tỷ lệ sinh viên đạt mức độ kiến thức chung về phòng ngừa suy giãn tĩnh mạch chi dưới ở mức trung bình là 61,6% và 31,1% sinh viên có mức độ kiến thức tốt."
Research helps managers have policies to improve the mental health status of healthcare workers.,Nghiên cứu giúp các nhà quản lý có các chính sách để cải thiện tình trạng sức khoẻ tâm thần của nhân viên y tế.
"The prospective, open label, non-randomized, longitudinal study.","Nghiên cứu tiến cứu, nhãn mở, không ngẫu nhiên, theo dõi dọc."
Conclusion: Endoscopy and biopsy play an important role in early detection of gastric cancer.,Kết luận: Nội soi và sinh thiết đóng vai trò quan trọng trong phát hiện hiện sớm ung thư dạ dày.
"Histopathological results: 1/6 biopsies, we found cancer cells (last biopsy: 09/2021).","Kết quả mô bệnh học: có 1/6 lần sinh thiết, chúng tôi tìm thấy tế bào ung thư (lần sinh thiết cuối cùng: 09/2021)."
Results: The mean score of knowledge of the mother was 8.3 ± 4.2 (total 20 points).,"Kết quả cho thấy Điểm trung bình kiến thức của bà mẹ đạt 8,3 ± 4,2 (tổng 17 điểm)."
Samples were collected and analysed at Hanoi Medical University Hospital from 2017 to 2020.,"Mẫu được thu thập và phân tích, nghiên cứu tại Bệnh viện Đại học Y Hà Nội từ năm 2017 đến 2020."
"Stage T3 accounted for 61.8%, T4 accounted for 29.1%.","Giai đoạn T3 chiếm 61,8%, T4 chiếm 29,1%."
Rate of lowering stage 64.1%.,"Tỉ lệ hạ thấp giai đoạn 64,1%."
Ratio male / female: 1.4.,"Tỉ lệ nam / nữ: 1,4."
"Stage T3 accounted for 64.8%, T4 accounted for 35.2%.","Giai đoạn T3 chiếm 64,8%, T4 chiếm 35,2%."
Lower the overall period 64.1%.,"Hạ thấp giai đoạn chung 64,1%."
The general histopathological response was 90.9%.,"Đáp ứng chung trên mô bệnh học là 90,9%."
"Toxicity only encountered grade 1, grade 2 with a low rate.","Độc tính chỉ gặp độ 1, độ 2 với tỉ lệ thấp."
"Subjects and research methods: Non-controlled clinical intervention study, convenient sample size.","Đối tượng và phương pháp nghiên cứu: Nghiên cứu can thiệp lâm sàng không đối chứng, cỡ mẫu thuận tiện."
Acute blood pressure levels recorded at admission and long-term outcome,Trị số huyết áp lúc nhập viện và dự hậu bệnh nhân nhồi máu não cấp
"Methods: Clinical trial study, comparison before and after treatment's result and compare with control group.","Phương pháp: Nghiên cứu can thiệp lâm sàng có đối chứng, so sánh trước và sau điều trị."
"The assays are determined by means of enzyme colorimetric, enzyme kinetics, indirect selective electrode.","Các xét nghiệm (Acid uric, Glucose, Ure, Creatinin, AST, ALT, điện giải đồ, Calci, Albumin, Protein, LDH, huyết sắc tố và tiểu cầu) được xác định bằng phương pháp enzym so màu, động học enzym, điện cực chọn lọc gián tiếp và đo quang."
Drug - Induced Dyslipidemia,Rối loạn lipid máu do thuốc
Classification of eye behavior based on electrooculogram signals using labview tools,Phân loại hành vi nhìn của mắt theo tín hiệu điện nhãn đồ ứng dụng công cụ labview
"History: alcoholism (40.5%), viral hepatitis (19.7%).","Tiền căn: Nghiện rượu (40,5%), viêm gan siêu vi (19,7%)."
Magnetic resonance imaging features of lingual thyroglossal duct cyst,Đặc điểm hình ảnh của nang giáp lưỡi thể lưỡi trên cộng hưởng từ
"Conclusion: overall, more patient show enthusiasm with the medical care provided by nurse (71.4%).","Kết luận: Tỷ lệ người bệnh hài lòng chung với chất lượng chăm sóc của ĐD hộ sinh là 71,4%%."
Conclusion: Prevalence 6 weeks postpartum diabetes is 11.8%.,"Kết luận: Tỷ lệ đái tháo đường típ 2 sau sinh 6 tuần 11,8%; tiền đái tháo đường 47,3%; glucose máu bình thường 40,9%."
Clinical and subclinical features can guide diagnosis and treatment prognosis.,Đặc điểm lâm sàng và cận lâm sàng có thể định hướng chẩn đoán và tiên lượng điều trị.
"Research method: controlled clinical intervention, comparison before and after treatment.","Phương pháp nghiên cứu: can thiệp lâm sàng có đối chứng, so sánh kết quả trước sau điều trị."
Methodology: A cross-sectional study.,Phương pháp nghiên cứu: Mô tả cắt ngang.
