en,vi
Results and conclusions: The rate of HPV positive is 12.75%.,"Kết quả và kết luận: Tỉ lệ dương tính với HPV 12,75%."
The research tool is the DASS - 21 scale.,Công cụ nghiên cứu là thang đo DASS -21.
"In conclusion, MTX have effects in treatment of SSc.",MTX có hiệu quả trong điều trị xơ cứng bì hệ thống.
Results and Conclusion: 75% of patients are very satisfied and 20% are satisfied with the practice of communication procedure of health staff.,Kết quả và Kết luận: 75% người bệnh đánh giá rất hài lòng và 20% hài lòng với việc thực hiện quy chế giao tiếp của NVYT.
Conclusion: The ISO 9001: 2015 application was suitable for current Cho Ray and meet the customer's demand.,"Kết luận: Áp dụng tiêu chuẩn ISO 90 01:2 015 tại BVCR trong bệnh viện Chợ Rẫy phù hợp với điều kiện thực tiễn, mang lại hiệu quả công việc và sự hài lòng cho nhân viên y tế."
Conclusion: We have succesfully established an HPLC protocol for qualification of carotenoid in commercial products.,Kết luận: Chúng tôi đã xây dựng thành công trình định lượng bằng kỹ thuật HPLC để kiểm tra hàm lượng carotenoid trong các chế phẩm đang lưu hành trên thị trường.
Result and Discussion: The 3D-pharmacophore model was built based on the ETA-binding pocket with 4 features.,Kết quả: Mô hình pharmacophore được xây dựng trong khoang gắn kết giữa MCR-1 và ethanolamin gồm 4 yếu tố.
Conclusions: - Antegrade percutaneous stenting is safe and improves the quality of life.,"Kết luận: - Đây là phương pháp an toàn và cải thiện chất lượng cuộc sống bệnh nhân, ít biến chứng."
Retrospective case series study.,Nghiên cứu hồi cứu mô tả hàng loạt ca.
Case series.,Báo cáo hàng loạt ca.
Common LAPs are cross-lineage and asynchronous antigen expressions. Conclusion: Flow cytometry can distinguish the malignant from regeneration of the normal blasts in bone marrow samples which morphology can't detect.,2 kiểu hình DAMD bất thường gặp nhiều nhất là sự xuất hiện KN khác dòng và các KN không đồng bộ.Kết luận: Kỹ thuật DAMD giúp phân biệt rõ tế bào non ác tính và tế bào non bình thường trong tuỷ xương đang tái hoạt hoá sau hoá trị liệu mà bằng hình thái chúng ta không thể phân biệt được.
"CA 125 > 60 UI / mL was a worth bio-chemical makers to predict ovarian cancer, the sensitivity was 96.2%, the specificity was 94.0%. Conclusion: Combine ultrasound, Doppler with bio-chemical maker to increase the accurate diagnosis of ovarian cancer.",Kết luận: Kết hợp siêu âm hai chiều và Doppler và giá trị CA 125 để tăng độ chính xác của chẩn đoán ung thư buồng trứng.
The parterns were classified by the CCMQ table (by China Association for Traditional Chinese Medicine).,Phân loại thể lâm sàng YHCT bằng bảng CCMQ (China Association for Traditional Chinese Medicine).
Methods: Case series study.,Phương pháp nghiên cứu: Nghiên cứu tiến cứu mô tả hàng loạt ca.
The control group showed an increase of 2.54% in the S mutans CFU with no statistical significance (p>0.05).,"Sau 4 tuần súc miệng với nước muối sinh lí, số lượng vi khuẩn S.mutans trong nước bọt tăng 2,54% nhưng không có ý nghĩa thống kê (p > 0,05)."
Conclusion: The in silico models of IL-1β inhibitors were built successfully.,Kết luận: Các mô hình in silico cho chất ức chế IL-1 β được xây dựng và sàng lọc thành công các chất có tiềm năng ức chế hoạt động IL-1β.
"Key words: right ventricular function, TAPSE.","Từ khoá: TAPSE, chức năng thất phải."
TECHNICAL CHARACTERISTICS 3.3.1.,KỸ THUẬT 3.3.1.
"Thesis summary * Thesis layout The thesis was presented in 121 pages: introduction (02 pages), literature review (35 pages), subjects and methods (24 pages), discussion (33 pages), conclusion (02 pages), and recommendations (01 page).","Gi ới th iệu luận án * Cấu trúc của luận án Luận án gồm 121 trang: đặt vấn đề 02 trang, tổng quan (35 trang), đối tượng và phương pháp nghiên cứu (24 trang), kết quả nghiên cứu (24 trang), bàn luận (33 trang), kết luận (02 trang) và kiến nghị (01 trang)."
The thesis had 138 references (20 in Vietnamese and 118 in English).,"Luận án có 138 tài liệu tham khảo, trong đóđó 20 tài liệu tiếng Việt và 118 tài liệu tiếng Anh."
